2020-03-11,9995,415,914,735,2507,1014,3387
2020-03-12,4300,161,365,257,3564,381,3787
2020-03-13,9999,322,787,584,1238,842,10339
2020-03-14,14390,518,1681,725,6403,1171,5322
2020-03-15,5996,229,425,340,960,509,2058
2020-03-16,6696,228,117,299,775,550,1461
2020-03-17,8996,479,2114,445,1177,925,3665
2020-03-18,9998,355,9462,509,1828,792,2589
2020-03-19,9994,399,2019,449,724,853,1690
2020-03-20,4198,173,179,179,232,314,809
2020-03-21,9995,413,1761,438,3718,742,5540
2020-03-22,6194,332,2936,301,2916,563,5794
2020-03-23,9998,453,1712,488,4193,934,2374
2020-03-24,9994,427,673,463,2224,850,4200
2020-03-25,4299,182,158,191,605,397,468
2020-03-26,9992,493,1310,491,3249,967,8625
2020-03-27,4396,182,357,184,508,386,1792
2020-03-28,9993,438,2369,460,1254,900,3191
2020-03-29,4296,223,301,224,2313,443,2131
2020-03-30,9995,477,1436,480,1020,942,3196
2020-03-31,14295,761,3332,678,1993,1447,7777
2020-04-01,8395,422,4162,427,1888,937,6963
2020-04-02,12390,503,1274,592,2212,1234,5609
2020-04-03,5098,289,1706,233,1445,530,3397
2020-04-04,1700,93,142,84,259,183,359
2020-04-05,7796,388,528,408,1075,879,5538
2020-04-06,16990,789,3779,821,2582,1646,5949
2020-04-07,5594,280,1038,294,679,615,1692
2020-04-08,17792,857,8867,811,2429,1655,13531
2020-04-09,2699,131,335,120,553,255,355
2020-04-10,3798,206,336,207,378,389,822
2020-04-11,14292,676,1570,635,3796,1367,4936
2020-04-12,897,34,46,37,70,74,114
2020-04-13,9597,513,1421,381,1792,905,2631
2020-04-14,200,8,7,11,22,18,26
2020-04-15,14391,712,8119,622,1743,1504,8199
2020-04-16,14285,662,3705,559,1566,1343,3147
2020-04-17,13893,692,2942,638,1327,1570,12663
2020-04-18,7898,388,3447,357,1480,887,12748
2020-04-19,10594,592,3417,476,1544,1249,10183
2020-04-20,400,13,16,15,7,37,14
2020-04-21,400,19,42,11,5,34,20
2020-04-22,8497,390,826,433,877,861,2860
2020-04-23,18186,877,2580,832,3561,2225,9585
2020-04-24,14291,638,7400,685,8798,1471,3803
2020-04-25,1400,74,194,56,93,165,93
2020-04-26,19986,991,3958,925,8688,1896,12538
2020-04-27,12293,631,3680,558,2288,1537,6998
2020-04-28,10292,455,1437,491,716,996,6985
2020-04-29,14388,660,1480,670,3836,1373,13207
2020-04-30,14289,665,1747,701,1346,1476,3205
2020-05-01,10695,489,1111,469,793,1023,1998
2020-05-02,8097,328,1909,361,4459,838,3572
2020-05-03,2499,113,818,105,138,294,500
2020-05-04,4097,205,1088,173,211,381,1523
2020-05-05,3699,204,912,181,348,380,938
2020-05-06,5598,265,369,267,1223,544,918
2020-05-07,4299,220,330,181,304,358,481
2020-05-08,7294,332,901,292,450,653,7516
2020-05-09,5295,244,562,228,883,525,1916
2020-05-10,999,49,221,55,69,104,229
2020-05-11,11896,603,1795,570,1793,1102,4639
2020-05-12,11794,616,1393,530,2157,1179,2835
2020-05-13,19989,1032,3056,970,10826,1790,4534
2020-05-14,14295,729,2055,663,1060,1443,1970
2020-05-15,14294,724,917,611,668,1336,7167
2020-05-16,14290,658,1707,614,643,1384,3900
2020-05-17,900,44,44,47,197,100,60
2020-05-18,7379,375,1324,350,5639,674,5648
2020-05-19,14396,586,896,599,892,1175,2026
2020-05-20,11997,509,1061,515,9214,1055,3858
2020-05-21,2200,107,2918,78,43,179,84
2020-05-22,2298,101,88,85,883,187,866
2020-05-23,14297,752,3388,574,1283,1360,3446
2020-05-24,4496,229,4019,200,225,455,5436
2020-05-25,19986,977,1654,928,2911,1939,4725
